#{"t_start": 1761665689.5522008, "env_id": "CrafterReward-v1"}
r,l,t
0.1,180,2.487091
0.1,160,3.056843
3.1,172,3.676521
0.1,165,4.360368
0.1,213,5.078741
2.1,171,5.670647
3.1,187,6.330309
1.1,191,6.971847
4.1,161,7.560748
1.1,96,7.941727
0.1,121,8.420388
2.1,152,8.943391
2.1,162,9.489355
3.1,174,10.077602
1.1,211,10.73207
1.1,210,11.386255
1.1,170,11.969927
3.1,176,12.679185
1.1,195,13.491143
2.1,134,14.082352
1.1,141,14.680901
0.1,162,15.321577
0.1,141,15.881823
2.1,218,16.756298
0.1,153,17.35562
1.1,159,17.99288
0.1,154,18.74084
1.1,267,19.719995
2.1,180,20.439942
3.1,211,21.222453
0.1,176,21.810612
2.1,259,22.659904
1.1,203,23.290447
0.1,139,23.747767
1.1,174,24.345392
3.1,374,25.43537
2.1,158,25.962837
3.1,215,26.730764
1.1,170,27.270161
2.1,173,27.879849
3.1,167,28.452807
3.1,158,28.96999
0.1,142,29.469562
1.1,144,29.948802
2.1,156,30.508266
0.1,142,30.977257
1.1,168,31.495775
2.1,151,31.998301
1.1,194,32.618366
1.1,148,33.115624
0.1,148,33.578466
1.1,168,34.097314
2.1,197,34.693072
1.1,173,35.261291
2.1,225,35.954151
3.1,150,36.45822
0.1,276,37.274191
0.1,171,37.857746
1.1,164,38.431439
2.1,132,38.876654
1.1,210,39.612727
2.1,169,40.141485
0.1,206,40.779803
0.1,134,41.22356
-0.9,178,41.795581
1.1,111,42.196637
2.1,218,42.921878
1.1,78,43.232188
0.1,113,43.625726
0.1,141,44.093117
0.1,165,44.655471
0.1,139,45.14505
2.1,191,45.767107
2.1,131,46.303167
1.1,230,47.119019
2.1,140,47.590478
3.1,181,48.185181
1.1,131,48.595676
2.1,258,49.42157
0.1,184,50.022641
3.1,427,51.218718
3.1,131,51.680516
1.1,182,52.229059
3.1,154,52.724781
2.1,182,53.342986
1.1,58,53.610029
2.1,185,54.267635
2.1,220,55.129726
2.1,259,55.95039
0.1,211,56.628746
2.1,163,57.271543
0.1,182,57.905743
0.1,206,58.628099
3.1,182,59.239347
3.1,159,59.76892
-0.9,52,60.030166
-0.9,44,60.256783
-0.9,42,60.49674
0.1,146,61.00421
0.1,166,61.592602
1.1,172,62.16879
3.1,211,62.890695
2.1,191,63.537272
0.1,183,64.161011
2.1,187,64.791237
0.1,154,65.350873
0.1,167,65.931484
4.1,222,66.679689
1.1,158,67.240286
2.1,202,67.908032
2.1,183,68.531994
1.1,210,69.236679
0.1,164,69.747826
-0.9,146,70.24196
1.1,187,70.85423
